#,الوحدة/الدرس/البطاقة,اسم السورة,الآية أو النطاق,نصّ البرنامج,صفحة الكتاب,صورة الصفحة,النصّ المرجعي,مصدر المرجع,نتيجة المطابقة,المقارنة الخام (أساسي),المقارنة الخام (شاهد),الفروق الحرفية,حالة التشكيل,حالة علامات الوقف,حالة رقم الآية,مواضع الظهور,الملاحظات,التوصية
٧,u1 / u1l7 / c1,سورة الإخلاص,٢,ٱللَّهُ ٱلصَّمَدُ,١٣,pages/book-p013.png,ٱللَّهُ ٱلصَّمَدُ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,مطابقة تامّة للآية,فروق رسم وتشكيل معروفة: ٠,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤,u1/u1l7/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٧,u1 / u1l7 / c1,سورة الإخلاص,٣,لَمْ يَلِدْ وَلَمْ يُولَدْ,١٣,pages/book-p013.png,لَمۡ يَلِدۡ وَلَمۡ يُولَدۡ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٤,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤,u1/u1l7/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٧,u1 / u1l7 / c1,سورة الإخلاص,٤,وَلَمْ يَكُن لَّهُۥ كُفُوًا أَحَدٌۢ,١٣,pages/book-p013.png,وَلَمۡ يَكُن لَّهُۥ كُفُوًا أَحَدُۢ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤,u1/u1l7/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٨,u1 / u1l8 / c1,سورة الفلق,١,قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ,١٣,pages/book-p013.png,قُلۡ أَعُوذُ بِرَبِّ ٱلۡفَلَقِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٢,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥,u1/u1l8/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٨,u1 / u1l8 / c1,سورة الفلق,٢,مِن شَرِّ مَا خَلَقَ,١٣,pages/book-p013.png,مِن شَرِّ مَا خَلَقَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,مطابقة تامّة للآية,فروق رسم وتشكيل معروفة: ٠,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥,u1/u1l8/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٨,u1 / u1l8 / c1,سورة الفلق,٣,وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ,١٣,pages/book-p013.png,وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,مطابقة تامّة للآية,فروق رسم وتشكيل معروفة: ٠,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥,u1/u1l8/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٨,u1 / u1l8 / c1,سورة الفلق,٤,وَمِن شَرِّ ٱلنَّفَّـٰثَـٰتِ فِى ٱلْعُقَدِ,١٣,pages/book-p013.png,وَمِن شَرِّ ٱلنَّفَّـٰثَٰتِ فِي ٱلۡعُقَدِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ٣,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥,u1/u1l8/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٨,u1 / u1l8 / c1,سورة الفلق,٥,وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ,١٣,pages/book-p013.png,وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,مطابقة تامّة للآية,فروق رسم وتشكيل معروفة: ٠,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥,u1/u1l8/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٩,u1 / u1l9 / c1,سورة الناس,١,قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ,١٤,pages/book-p014.png,قُلۡ أَعُوذُ بِرَبِّ ٱلنَّاسِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,لا تطابق خام ⚠️,فروق رسم وتشكيل معروفة: ١,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l9/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
٩,u1 / u1l9 / c1,سورة الناس,٢,مَلِكِ ٱلنَّاسِ,١٤,pages/book-p014.png,مَلِكِ ٱلنَّاسِ,موسوعة القرآن الكريم (quranenc.com) — رسم عثماني · عبر حزمة quran-json@3.1.2,الآية كاملة · الحروف: سليمة,مطابقة تامّة للآية,مطابقة تامّة للآية,فروق رسم وتشكيل معروفة: ٠,مطابق تمامًا لمرجع عثماني,مطابقة للمرجع الأساسي (لا علامات),مذكورة ومطابقة للنطاق: ١، ٢، ٣، ٤، ٥، ٦,u1/u1l9/cards/c1,كل مقاطعه شرائح حرفية (Unicode) من المرجع الأساسي. ويبقى «بانتظار المراجعة» حتى يصدر الاعتماد.,مطابق للمرجع الأساسي
