"المعرّف","السورة والآية","الوحدة","الدرس","البطاقة","الصفحة","النصّ في البرنامج","المقارنة الحرفية","خلاف المصدرين","حالة المراجعة","قرار المقابلة البصرية","الملاحظة","وقت القرار"
"u6l2/c1","الزمر: ١٠","u6","u6l2","c1","59","﴿إِنَّمَا يُوَفَّى ٱلصَّـٰبِرُونَ أَجْرَهُم بِغَيْرِ حِسَابٍ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:01:51.428Z"
"u6l3/c1","النساء: ٥٨","u6","u6l3","c1","60","﴿إِنَّ ٱللَّهَ يَأْمُرُكُمْ أَن تُؤَدُّوا۟ ٱلْأَمَـٰنَـٰتِ إِلَىٰٓ أَهْلِهَا﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف + مسافة علامة الحزب/السجدة","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:02:06.712Z"
"u6l4/c1","يوسف: ٢٣","u6","u6l4","c1","60","وَرَٰوَدَتْهُ ٱلَّتِى هُوَ فِى بَيْتِهَا عَن نَّفْسِهِۦ وَغَلَّقَتِ ٱلْأَبْوَٰبَ وَقَالَتْ هَيْتَ لَكَ ۚ قَالَ مَعَاذَ ٱللَّهِ ۖ إِنَّهُۥ رَبِّىٓ أَحْسَنَ مَثْوَاىَ ۖ إِنَّهُۥ لَا يُفْلِحُ ٱلظَّـٰلِمُونَ ﴿٢٣﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:02:21.497Z"
"u6l5/c1","الأحزاب: ٥٣","u6","u6l5","c1","61","﴿يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَدْخُلُوا۟ بُيُوتَ ٱلنَّبِىِّ إِلَّآ أَن يُؤْذَنَ لَكُمْ إِلَىٰ طَعَامٍ غَيْرَ نَـٰظِرِينَ إِنَىٰهُ وَلَـٰكِنْ إِذَا دُعِيتُمْ فَٱدْخُلُوا۟ فَإِذَا طَعِمْتُمْ فَٱنتَشِرُوا۟ وَلَا مُسْتَـْٔنِسِينَ لِحَدِيثٍ ۚ إِنَّ ذَٰلِكُمْ كَانَ يُؤْذِى ٱلنَّبِىَّ فَيَسْتَحْىِۦ مِنكُمْ ۖ وَٱللَّهُ لَا يَسْتَحْىِۦ مِنَ ٱلْحَقِّ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:02:29.553Z"
"u6l6/c1","آل عمران: ١٣٩","u6","u6l6","c1","61","وَلَا تَهِنُوا۟ وَلَا تَحْزَنُوا۟ وَأَنتُمُ ٱلْأَعْلَوْنَ إِن كُنتُم مُّؤْمِنِينَ ﴿١٣٩﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة ترميز السكون","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:02:45.934Z"
"u6l7/c1","الأنفال: ٢-٤","u6","u6l7","c1","62","إِنَّمَا ٱلْمُؤْمِنُونَ ٱلَّذِينَ إِذَا ذُكِرَ ٱللَّهُ وَجِلَتْ قُلُوبُهُمْ وَإِذَا تُلِيَتْ عَلَيْهِمْ ءَايَـٰتُهُۥ زَادَتْهُمْ إِيمَـٰنًا وَعَلَىٰ رَبِّهِمْ يَتَوَكَّلُونَ ﴿٢﴾ ٱلَّذِينَ يُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ ﴿٣﴾ أُو۟لَـٰٓئِكَ هُمُ ٱلْمُؤْمِنُونَ حَقًّا ۚ لَّهُمْ دَرَجَـٰتٌ عِندَ رَبِّهِمْ وَمَغْفِرَةٌ وَرِزْقٌ كَرِيمٌ ﴿٤﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف / صورة ترميز السكون / تشكيل أو علامة وقف","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:03:12.070Z"
"u6l8/c1","الإسراء: ٣٤","u6","u6l8","c1","62","﴿وَأَوْفُوا۟ بِٱلْعَهْدِ ۖ إِنَّ ٱلْعَهْدَ كَانَ مَسْـُٔولًا﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:03:16.402Z"
"u6l9/c1","النساء: ٣٦","u6","u6l9","c1","63","﴿وَٱعْبُدُوا۟ ٱللَّهَ وَلَا تُشْرِكُوا۟ بِهِۦ شَيْـًٔا ۖ وَبِٱلْوَٰلِدَيْنِ إِحْسَـٰنًا وَبِذِى ٱلْقُرْبَىٰ وَٱلْيَتَـٰمَىٰ وَٱلْمَسَـٰكِينِ وَٱلْجَارِ ذِى ٱلْقُرْبَىٰ وَٱلْجَارِ ٱلْجُنُبِ وَٱلصَّاحِبِ بِٱلْجَنۢبِ وَٱبْنِ ٱلسَّبِيلِ وَمَا مَلَكَتْ أَيْمَـٰنُكُمْ ۗ إِنَّ ٱللَّهَ لَا يُحِبُّ مَن كَانَ مُخْتَالًا فَخُورًا﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى) + مسافة علامة الحزب/السجدة","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:03:24.609Z"
"u6l10/c1","الحج: ٧٧","u6","u6l10","c1","63","﴿يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ ٱرْكَعُوا۟ وَٱسْجُدُوا۟ وَٱعْبُدُوا۟ رَبَّكُمْ وَٱفْعَلُوا۟ ٱلْخَيْرَ لَعَلَّكُمْ تُفْلِحُونَ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف + مسافة علامة الحزب/السجدة","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:03:30.086Z"
"u7l1/c1","الحجر: ٤٩-٥٠","u7","u7l1","c1","67","نَبِّئْ عِبَادِىٓ أَنِّىٓ أَنَا ٱلْغَفُورُ ٱلرَّحِيمُ ﴿٤٩﴾ وَأَنَّ عَذَابِى هُوَ ٱلْعَذَابُ ٱلْأَلِيمُ ﴿٥٠﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى) + مسافة علامة الحزب/السجدة / صورة الياء الأخيرة (ي/ى)","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:03:52.143Z"
"u7l2/c1","إبراهيم: ٣٤","u7","u7l2","c1","67","﴿وَإِن تَعُدُّوا۟ نِعْمَتَ ٱللَّهِ لَا تُحْصُوهَآ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:04:01.850Z"
"u7l8/c1","الأعراف: ١٥٦","u7","u7l8","c1","69","﴿وَرَحْمَتِى وَسِعَتْ كُلَّ شَىْءٍ﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة كرسيّ الهمزة ⚠️ + مسافة علامة الحزب/السجدة","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:04:48.896Z"
"u7l8/c2","الزمر: ٥٣","u7","u7l8","c2","69","قُلْ يَـٰعِبَادِىَ ٱلَّذِينَ أَسْرَفُوا۟ عَلَىٰٓ أَنفُسِهِمْ لَا تَقْنَطُوا۟ مِن رَّحْمَةِ ٱللَّهِ ۚ إِنَّ ٱللَّهَ يَغْفِرُ ٱلذُّنُوبَ جَمِيعًا ۚ إِنَّهُۥ هُوَ ٱلْغَفُورُ ٱلرَّحِيمُ ﴿٥٣﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","صورة الياء الأخيرة (ي/ى) + مسافة علامة الحزب/السجدة","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:04:57.115Z"
"u7l11/c1","العنكبوت: ٦٩","u7","u7l11","c1","70","وَٱلَّذِينَ جَـٰهَدُوا۟ فِينَا لَنَهْدِيَنَّهُمْ سُبُلَنَا ۚ وَإِنَّ ٱللَّهَ لَمَعَ ٱلْمُحْسِنِينَ ﴿٦٩﴾","كل المقاطع شرائح حرفية من المرجع الأساسي","تشكيل أو علامة وقف","بانتظار المراجعة","طابقته بصريًّا: مطابق","","2026-09-15T03:05:12.451Z"
